Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99,Word 100,Word 101,Word 102,Word 103,Word 104,Word 105,Word 106,Word 107,Word 108,Word 109,Word 110,Word 111,Word 112,Word 113,Word 114,Word 115,Word 116,Word 117,Word 118,Word 119,Word 120,Word 121,Word 122,Word 123,Word 124,Word 125,Word 126,Word 127,Word 128
if,you,want,me,to,listen,to,you,respect,that,i,can,hear,if,you,want,me,to,speak,to,you,respect,that,i,have,a,voice,if,you,want,me,to,look,at,you,respect,my,ability,to,see,do,you,know,how,to,do,that,listen,to,me,when,i,talk,talk,to,me,when,you,hear,me,and,look,at,me,when,i,look,at,you,share,me,not,only,your,sadness,but,also,your,happiness,if,i,can,bear,hours,of,your,sadness,believe,me,its,because,i,would,like,to,see,days,of,your,happiness,depend,on,me,if,you,respect,that,i,am,worthy,of,your,trust,open,your,heart,to,me,if,you,respect,that,i,am,worthy,of,your,love
i,appreciate,a,genuine,effort,over,a,fake,attempt,to,gain,my,trust,the,clouds,overtake,the,sky,for,a,little,while,but,the,sun,always,strikes,through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whatever,you,do,do,it,with,purpose,being,focused,is,not,something,to,be,ashamed,of,it,is,something,to,be,proud,of,when,you,know,what,you,are,doing,and,have,a,clear,vision,of,where,you,are,going,you,will,not,need,to,chase,opportunities,opportunities,will,seek,you,happiness,will,chase,you,and,instead,of,being,a,choice,you,will,be,the,one,choosing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
own,my,heart,with,your,respect,free,me,from,your,deceit,captivate,me,with,your,honesty,rid,me,of,your,uncertainty,challenge,me,with,your,thoughts,enslave,me,with,your,genuineness,impress,me,with,your,spontaneity,treat,me,right,and,i,will,treat,you,better,keep,me,away,from,what,i,dont,deserve,and,i,will,bring,you,closer,to,what,you,deserve,respect,me,be,honest,with,me,i,will,give,you,nothing,but,multiples,of,that,in,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont,rely,on,others,to,make,your,life,better,you,may,seem,like,a,puzzle,piece,that,fits,nicely,into,their,plans,at,one,point,but,what,happens,if,they,change,their,minds,so,be,it,you,have,a,mind,to,lead,you,by,logic,and,a,heart,to,lead,you,by,reason,you,choose,your,fate,by,taking,responsibility,and,by,taking,the,lead,in,your,life,dont,make,yourself,part,of,others,plans,make,your,own,plan,and,be,part,of,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beautiful,hearts,are,hard,to,find,and,to,reward,them,when,we,do,find,them,we,convince,ourselves,that,theyre,too,good,for,us,what,a,reward,instead,of,holding,onto,them,we,pull,ourselves,away,we,push,them,away,we,forget,that,the,beauty,of,their,hearts,comes,from,their,ability,to,love,and,from,their,willingness,to,liberate,those,whose,hearts,have,caged,themselves,in,the,past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,can,point,you,towards,the,sky,but,i,cant,make,you,reach,for,the,stars,i,can,show,you,the,moon,but,i,cant,make,you,feel,its,beauty,or,appreciate,its,light,i,can,show,you,the,pathways,that,you,can,take,but,i,cant,make,you,walk,down,them,i,can,extend,my,hand,to,help,you,but,i,cant,make,you,hold,it,back,i,can,tell,you,the,truth,but,i,cant,make,you,believe,it,i,can,tell,you,how,i,feel,but,i,cant,make,you,care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dont,tell,me,what,i,want,to,hear,tell,me,the,truth,it,may,hurt,but,it,definitely,wont,hurt,more,than,the,feeling,that,i,was,told,something,out,of,pity,not,out,of,honesty,if,you,mean,it,say,it,if,you,dont,keep,your,words,until,the,right,person,is,standing,in,front,of,you,if,words,are,said,too,many,times,they,become,cheap,and,i,only,deserve,to,hear,what,is,valuable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,you,ever,seen,a,thirsty,ocean,or,air,grasping,for,breath,has,it,ever,seemed,that,the,sky,wanted,to,stretch,out,more,or,that,the,rainbow,wanted,more,colors,before,you,ask,for,something,look,at,what,you,already,have,dont,ask,for,more,than,you,need,dont,let,your,want,replace,your,need,because,a,day,will,come,when,you,will,lose,what,you,need,to,get,what,you,want,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,my,heart,could,speak,it,would,need,a,whole,new,language,to,express,the,way,i,feel,if,my,heart,could,create,a,piece,of,art,artists,could,not,handle,the,power,of,its,feelings,if,my,heart,could,sing,composers,would,not,be,able,to,put,together,its,symphony,the,softest,ever,made,if,my,heart,could,smile,it,would,flutter,out,of,my,chest,and,into,my,eyes,to,see,the,world,with,a,touch,of,beauty,and,a,hint,of,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
